timestamp,open,high,low,close,volume
2023-10-10 04:18:28.847489,45012.98,45207.25,44806.62,45000.0,3678.5
2023-10-10 05:18:28.847502,45484.42,45710.53,45226.71,45451.54,4675.93
2023-10-10 06:18:28.847504,45315.14,45357.53,45288.04,45330.4,8994.75
2023-10-10 07:18:28.847505,45981.56,45973.52,45930.17,45922.13,8561.59
2023-10-10 08:18:28.847506,47367.6,47521.23,47172.55,47325.54,8693.9
2023-10-10 09:18:28.847507,47036.03,47055.52,47089.14,47108.65,8582.09
2023-10-10 10:18:28.847508,46822.87,46891.9,46823.72,46892.76,2037.81
2023-10-10 11:18:28.847510,48427.09,48262.07,48543.94,48378.52,7397.71
2023-10-10 12:18:28.847512,49194.08,49048.37,49271.84,49125.91,3531.65
2023-10-10 13:18:28.847513,48667.37,48812.15,48525.2,48669.55,7583.94
2023-10-10 14:18:28.847514,49172.46,49144.18,49230.85,49202.54,8572.24
2023-10-10 15:18:28.847515,48844.01,48617.03,48979.04,48751.44,6833.62
2023-10-10 16:18:28.847516,48326.95,48294.32,48334.84,48302.21,2104.67
2023-10-10 17:18:28.847517,48634.97,48641.81,48533.97,48540.79,3117.42
2023-10-10 18:18:28.847518,46676.05,46791.98,46572.53,46688.2,6872.12
2023-10-10 19:18:28.847519,45076.88,44949.16,45210.3,45082.2,9820.83
2023-10-10 20:18:28.847520,44604.06,44468.14,44715.98,44579.73,6180.38
2023-10-10 21:18:28.847521,43701.26,43729.69,43652.75,43681.15,5520.14
2023-10-10 22:18:28.847522,44030.4,43817.71,44173.44,43960.05,8442.81
2023-10-10 23:18:28.847523,43151.14,43025.46,43292.2,43166.11,7934.94
2023-10-11 00:18:28.847524,42026.86,42228.61,41750.73,41951.16,9094.23
2023-10-11 01:18:28.847525,43256.66,43108.88,43333.1,43185.06,8906.0
2023-10-11 02:18:28.847526,42976.24,42941.47,43029.19,42994.38,5139.18
2023-10-11 03:18:28.847528,43015.55,43123.99,42948.48,43056.74,1206.54
2023-10-11 04:18:28.847529,41824.13,41684.06,41974.72,41834.15,3538.02
2023-10-11 05:18:28.847530,41317.75,41492.32,41208.75,41382.86,9257.19
2023-10-11 06:18:28.847531,41546.62,41710.87,41315.47,41478.8,7656.49
2023-10-11 07:18:28.847532,40518.08,40368.84,40677.95,40528.11,2182.65
